Song Metadata ,Model Rec 1,Song URL,Annotation ,Model Rec 2,Song URL,Annotation ,Model Rec 3,Song URL,Annotation ,Model Rec 4,Song URL,Annotation ,Model Rec 5,Song URL,Annotation ,,% Liked Per Song
3176 - Almost (Sweet Music) - Hozier,Taylor Swift - We Are Never Ever Getting Back Together,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,0,Melanie Martinez - Mad Hatter,https://open.spotify.com/track/5gWtkdgdyt5bZt9i6n3Kqd,1,Kanye West - Good Morning,https://open.spotify.com/track/6MXXY2eiWkpDCezVCc0cMH,0,Cole Swindell - Single Saturday Night,https://open.spotify.com/track/6LnIxE8CqkK7faQV76nEHS,0,BLACKPINK - Ready For Love,https://open.spotify.com/track/1Wwh6gmMeolwzbRzfZMY5b,0,,0.2
,,,4,,,6,,,5,,,4,,,7,,
,,,,,,,,,,,,,,,,,
,Songs Liked ,Songs Disliked ,Success percentage ,,,,,,,,,,,,,,
,26,24,0.52,,,,,,,,,,,,,,
MODEL 2 - CLUSTERED KNN,,,,,,,,,,,,,,,,,
34 - Another Love - Tom Odell,"Billie Eilish, Khalid - lovely (with Khalid)",https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,1,Billie Eilish - ocean eyes,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,1,Natalie Taylor - Surrender,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6,1,James Arthur - Train Wreck,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,1,Kate Bush - Running Up that Hill (Deal with God),https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO,1,,1
5253 - Leave Me Alone - NF,"Travis Scott, Skrillex - SICKO MODE - Skrillex Remix",https://open.spotify.com/track/0u695M7KyzXaPIjpEbxOkB,0,"Chris Jeday, J Balvin, Ozuna, Cardi B, Offset, Anuel, Arcangel - Ahora Dice - Real Hasta La Muerte Remix",https://open.spotify.com/track/2TQTZ2TSAO5eGgkCtjxjrt,1,"ILOVEMAKONNEN, Drake - Tuesday (feat. Drake)",https://open.spotify.com/track/35rSpXB5bk9ega9jsjcRts,0,"Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön - La Forma en Que Me Miras",https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV,0,Dermot Kennedy - Outnumbered,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,1,,0.4
28496 - Kill Your Heroes - AWOLNATION,HammerFall - Hearts on Fire,https://open.spotify.com/track/0eV3PB3T0OxW4feG1DlOjQ,0,Pennywise - Bro Hymn,https://open.spotify.com/track/1ybhXkz4S8k9fdBZNBan7L,0,Our Last Night - MIDDLE OF THE NIGHT,https://open.spotify.com/track/5MDv9EAucvoUKtCCyaCFHD,1,The Used - Pretty Handsome Awkward,https://open.spotify.com/track/77BfOPXhlnNaSbg647qkx2,1,YG - BPT,https://open.spotify.com/track/0toAMliqa1AlwX4GPH0B9n,1,,0.6
5851 - Dog Days Are Over - Florence + The Machine,BTS - Butterfly,https://open.spotify.com/track/3bjg5cbmuwDoS7e2dAWyRG,0,3 Doors Down - When I'm Gone,https://open.spotify.com/track/3WbphvawbMZ8FyqDxYGdSQ,1,Black Veil Brides - In The End,https://open.spotify.com/track/1RTYixE1DD3g3upEpmCJpa,1,A Day To Remember - Miracle,https://open.spotify.com/track/1l00qUHfmONY1jNaE2Ievs,0,Nickelback - Far Away,https://open.spotify.com/track/05rWggLwQ2weA4D2cRAt55,1,,0.6
9422 - Mess - Noah Kahan,One Direction - Home,https://open.spotify.com/track/5UcphALlWd7sBBySclJvAi,0,Maren Morris - My Church,https://open.spotify.com/track/1LM5zQv5pBKPyO7rm7Uz6U,1,Jason Derulo - Ridin' Solo,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST,1,Audioslave - Cochise,https://open.spotify.com/track/1TDk2Jmi4dVZhm2dum3Jim,0,One Direction - Heart Attack,https://open.spotify.com/track/4fa1TicRIFloaEVUubYfTV,1,,0.6
11895 - Guns for Hands - Twenty One Pilots,"Chief Keef, Lil Reese - I Don't Like",https://open.spotify.com/track/1h6kgem1ai8vUgO1rZOwfB,1,Estopa;Fito y Fitipaldis - Camiseta de Rokanrol,https://open.spotify.com/track/1eHr7GbGrNMIb01YUwLdku,1,"Yelawolf, Eminem - Best Friend",https://open.spotify.com/track/069VGijrAsQVSY9ihFv1Px,0,Jess Glynne - Hold My Hand,https://open.spotify.com/track/3iAD903jI8tHlM6Cn1zMax,0,Real Estate - Darling,https://open.spotify.com/track/36PQh1G6h7n9VWB799fXpI,1,,0.6
9135 - Message Man - Twenty One Pilots,Ne-Yo - Closer,https://open.spotify.com/track/2XbfY2O2v3xwedUJ0J2kkr,1,UVERworld - ODD FUTURE,https://open.spotify.com/track/5tHp131qFB3T7e01x1xsO2,0,Pouya - Void,https://open.spotify.com/track/2mJSI8gOGf8cnEJO5GJGzo,1,Rihanna - Where Have You Been,https://open.spotify.com/track/5WQQIDU3HRaMyPkob8mpFb,1,Jason Derulo - Don't Wanna Go Home,https://open.spotify.com/track/1r3myKmjWoOqRip99CmSj1,0,,0.6
46249 - Labyrinth - Miracle Musical,Mike Mago;MAU;Mohka;Megan Brands - Am I Dreaming (feat. Megan Brands),https://open.spotify.com/track/5WA3rl0o0RJwdhsB2T7p1k,1,"The Smiths - William, It Was Really Nothing - 2011 Remaster",https://open.spotify.com/track/6SwqPZs0XuSnyqkbnkkAjQ,0,"Chris Young, Vince Gill - Sober Saturday Night (feat. Vince Gill)",https://open.spotify.com/track/081t95JRuDUrQYSS3h8iKk,0,Florence + The Machine - Howl,https://open.spotify.com/track/3GS8qG28p2RF6M7S5rFdx5,1,"3LAU, Bright Lights - How You Love Me",https://open.spotify.com/track/4n8tuHbAZSOm2vUHkMdsag,1,,0.6
28518 - The Mind Electric - Miracle Musical,Blanco White - Colder Heavens,https://open.spotify.com/track/6Z2pu5Gq0uWJoaYWeWbQpX,1,Rose Royce - Wishing on a Star,https://open.spotify.com/track/0u2CGItUO2jYEiFaXD7n5S,0,Charles Aznavour - Comme ils disent,https://open.spotify.com/track/5SxJ7vZDcnIDB843MkgKf5,0,Hozier - In the Woods Somewhere,https://open.spotify.com/track/5Pkn31exSVgFbfDAH961QC,1,"Pankaj Udhas, Anuradha Paudwal - Aaj Phir Tum Pe",https://open.spotify.com/track/2zGiBYiOIbioKAJgV3D2TZ,0,,0.4
3176 - Almost (Sweet Music) - Hozier,Taylor Swift - We Are Never Ever Getting Back Together,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,0,Melanie Martinez - Mad Hatter,https://open.spotify.com/track/5gWtkdgdyt5bZt9i6n3Kqd,1,Kanye West - Good Morning,https://open.spotify.com/track/6MXXY2eiWkpDCezVCc0cMH,0,Cole Swindell - Single Saturday Night,https://open.spotify.com/track/6LnIxE8CqkK7faQV76nEHS,0,BLACKPINK - Ready For Love,https://open.spotify.com/track/1Wwh6gmMeolwzbRzfZMY5b,0,,0.2
,,,5,,,6,,,5,,,5,,,7,,
,,,,,,,,,,,,,,,,,
,Songs Liked ,Songs Disliked ,Success percentage ,,,,,,,,,,,,,,
,28,22,0.56,,,,,,,,,,,,,,
"MODEL 3- K-MEAN, PCA, KNN",,,,,,,,,,,,,,,,,
34 - Another Love - Tom Odell,Billie Eilish;Khalid - lovely (with Khalid),https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,1,James Arthur - Train Wreck,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,1,Billie Eilish - ocean eyes,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,1,Natalie Taylor - Surrender,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6,1,Zach Bryan - Something in the Orange,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI?si=fff1866e8ba541c9,1,,1
5253 - Leave Me Alone - NF,"Future, Lil Uzi Vert - I Don’t Wanna Break Up",https://open.spotify.com/track/7JwmlNz8ic9ATnLn7DyAKx,0,"Travis Scott, Skrillex - SICKO MODE - Skrillex Remix",https://open.spotify.com/track/0u695M7KyzXaPIjpEbxOkB,0,Nelly - Country Grammar (Hot Shit),https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j,1,Imran Khan - Pata Chalgea,https://open.spotify.com/track/3Iv3cPErD2npdrESbRov0u,1,"Rick Ross, Drake, Chrisette Michele - Aston Martin Music",https://open.spotify.com/track/5W7xC99N2Zzfh69r7I7zWK,0,,0.4
28496 - Kill Your Heroes - AWOLNATION,Pennywise - Bro Hymn,https://open.spotify.com/track/1ybhXkz4S8k9fdBZNBan7L,0,Our Last Night - MIDDLE OF THE NIGHT,https://open.spotify.com/track/5MDv9EAucvoUKtCCyaCFHD,1,Whiney;Subten - Headlines,https://open.spotify.com/track/4fjWJPN0jdfbvP8cE5Fn5y,0,HammerFall - Hearts on Fire,https://open.spotify.com/track/0eV3PB3T0OxW4feG1DlOjQ,0,YG - BPT,https://open.spotify.com/track/0toAMliqa1AlwX4GPH0B9n,1,,0.4
5851 - Dog Days Are Over - Florence + The Machine,BTS - Butterfly,https://open.spotify.com/track/3bjg5cbmuwDoS7e2dAWyRG,0,Black Veil Brides - In The End,https://open.spotify.com/track/1RTYixE1DD3g3upEpmCJpa,1,3 Doors Down - When I'm Gone,https://open.spotify.com/track/3WbphvawbMZ8FyqDxYGdSQ,1,A Day To Remember - Miracle,https://open.spotify.com/track/1l00qUHfmONY1jNaE2Ievs,0,Juice WRLD - I'll Be Fine,https://open.spotify.com/track/0INehbMZOFPnaPBAjK97i3,1,,0.6
9422 - Mess - Noah Kahan,Godsmack - Cryin' Like A Bitch!!,https://open.spotify.com/track/4a9i7rCLfPjbS1sNamZeQN,0,Brett Eldredge - Gabrielle,https://open.spotify.com/track/73FNizJ3eMasXSufZqx97z,1,"Sofi Tukker, NERVO, The Knocks, ALISA UENO - Best Friend",https://open.spotify.com/track/4NCcEcogAZM6LgIptOpY2d,0,One Direction - Home,https://open.spotify.com/track/5UcphALlWd7sBBySclJvAi,0,Brett Young - Here Tonight,https://open.spotify.com/track/38nVuIj9mi5a8oopOJhSJk,1,,0.4
11895 - Guns for Hands - Twenty One Pilots,"Chief Keef, Lil Reese - I Don't Like",https://open.spotify.com/track/1h6kgem1ai8vUgO1rZOwfB,0,Avicii - The Days,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,1,"Santana, Michelle Branch - The Game of Love (feat. Michelle Branch) - Main / Radio Mix",https://open.spotify.com/track/41IShViF79gmulEkIHAjcb,0,Estopa;Fito y Fitipaldis - Camiseta de Rokanrol,https://open.spotify.com/track/1eHr7GbGrNMIb01YUwLdku,1,Alice In Chains - No Excuses,https://open.spotify.com/track/4PtZE0h5oyPhCtPjg3NeYQ,1,,0.6
9135 - Message Man - Twenty One Pilots,Ne-Yo - Closer,https://open.spotify.com/track/2XbfY2O2v3xwedUJ0J2kkr,1,Jason Derulo - Don't Wanna Go Home,https://open.spotify.com/track/1r3myKmjWoOqRip99CmSj1,0,UVERworld - ODD FUTURE,https://open.spotify.com/track/5tHp131qFB3T7e01x1xsO2,0,Pouya - Void,https://open.spotify.com/track/2mJSI8gOGf8cnEJO5GJGzo,1,Rihanna - Where Have You Been,https://open.spotify.com/track/5WQQIDU3HRaMyPkob8mpFb,1,,0.6
46249 - Labyrinth - Miracle Musical,Mike Mago;MAU;Mohka;Megan Brands - Am I Dreaming (feat. Megan Brands),https://open.spotify.com/track/5WA3rl0o0RJwdhsB2T7p1k,1,Queen - Seven Seas Of Rhye - Remastered 2011,https://open.spotify.com/track/1e9Tt3nKBwRbuaU79kN3dn,1,Arctic Monkeys - Brick By Brick,https://open.spotify.com/track/49HYB8tppaxOsbBfeozPxu,1,"3LAU, Bright Lights - How You Love Me",https://open.spotify.com/track/4n8tuHbAZSOm2vUHkMdsag,1,"NEEDTOBREATHE, Shovels & Rope - GREAT NIGHT (feat. Shovels & Rope)",https://open.spotify.com/track/41cxe6eOzzQS6odQk6fNdp,1,,1
28518 - The Mind Electric - Miracle Musical,Warpaint - Billie Holiday,https://open.spotify.com/track/1YVD5cqaERd5F5w4IA9yFY,1,Hozier - In the Woods Somewhere,https://open.spotify.com/track/5Pkn31exSVgFbfDAH961QC,1,Peaches & Herb - Reunited,https://open.spotify.com/track/7wbPfd2mXbStoZZSnHNd2V,0,The Weeknd - The Knowing,https://open.spotify.com/track/6tjsbysvZh8Pq8DZA5ldrn,1,Garmarna - Herr Mannelig,https://open.spotify.com/track/2Vn64pgbiFjMdqkCf2dvLK,1,,0.8
3176 - Almost (Sweet Music) - Hozier,"Anuel AA, Mariah Angeliq - Bandido",https://open.spotify.com/track/5poUJOhLyalGkUedn3ggeX,0,Melanie Martinez - Mad Hatter,https://open.spotify.com/track/5gWtkdgdyt5bZt9i6n3Kqd,1,Los Amigos Invisibles - La Que Me Gusta,https://open.spotify.com/track/1q3AYHVLtrry7SDdRHoYnx,1,2Pac;Talent - Changes,https://open.spotify.com/track/1ofhfV90EnYhEr7Un2fWiv,1,"Sia, Diplo, Labrinth, LSD - Thunderclouds (feat. Sia, Diplo, and Labrinth)",https://open.spotify.com/track/4lJNen4SMTIJMahALc3DcB,1,,0.8
,,,4,,,8,,,5,,,7,,,9,,
,,,,,,,,,,,,,,,,,
,Songs Liked ,Songs Disliked ,Success percentage ,,,,,,,,,,,,,,
,33,17,0.66,,,,,,,,,,,,,,
